snapshot_id,price,ma20,ma50,rsi_14,rsi_slope,volume_ratio,atr_percent,rule_trend_ok,rule_rsi_ok,rule_volume_ok,rule_volatility_ok,outcome_label,confidence_score
1,4417.39990234375,4491.339990234375,4353.99400390625,46.731176389471926,-2.375245221971383,0.5891315757041785,2.0857444304318262,False,False,False,True,FAILURE,1.0
2,4417.39990234375,4491.339990234375,4353.99400390625,46.731176389471926,-2.375245221971383,0.5891315757041785,2.0857444304318262,False,False,False,True,FAILURE,1.0
3,4417.39990234375,4491.339990234375,4353.99400390625,46.731176389471926,-2.375245221971383,0.5891315757041785,2.0857444304318262,False,False,False,True,FAILURE,1.0
4,4417.39990234375,4491.339990234375,4353.99400390625,46.731176389471926,-2.375245221971383,0.5891315757041785,2.0857444304318262,False,False,False,True,FAILURE,1.0
5,4417.39990234375,4491.339990234375,4353.99400390625,46.731176389471926,-2.375245221971383,0.5891315757041785,2.0857444304318262,False,False,False,True,FAILURE,1.0
6,4417.39990234375,4491.339990234375,4353.99400390625,46.731176389471926,-2.375245221971383,0.5891315757041785,2.0857444304318262,False,False,False,True,FAILURE,1.0
7,4417.39990234375,4491.339990234375,4353.99400390625,46.731176389471926,-2.375245221971383,0.5891315757041785,2.0857444304318262,False,False,False,True,FAILURE,1.0
8,4417.39990234375,4491.339990234375,4353.99400390625,46.731176389471926,-2.375245221971383,0.5891315757041785,2.0857444304318262,False,False,False,True,FAILURE,1.0
9,4417.39990234375,4491.339990234375,4353.99400390625,46.731176389471926,-2.375245221971383,0.5891315757041785,2.0857444304318262,False,False,False,True,FAILURE,1.0
10,4417.39990234375,4491.339990234375,4353.99400390625,46.731176389471926,-2.375245221971383,0.5891315757041785,2.0857444304318262,False,False,False,True,FAILURE,1.0
11,4417.39990234375,4491.339990234375,4353.99400390625,46.731176389471926,-2.375245221971383,0.5891315757041785,2.0857444304318262,False,False,False,True,FAILURE,1.0
12,4417.39990234375,4491.339990234375,4353.99400390625,46.731176389471926,-2.375245221971383,0.5891315757041785,2.0857444304318262,False,False,False,True,FAILURE,1.0
13,4417.39990234375,4491.339990234375,4353.99400390625,46.731176389471926,-2.375245221971383,0.5891315757041785,2.0857444304318262,False,False,False,True,FAILURE,1.0
14,4417.39990234375,4491.339990234375,4353.99400390625,46.731176389471926,-2.375245221971383,0.5891315757041785,2.0857444304318262,False,False,False,True,FAILURE,1.0
15,4417.39990234375,4491.339990234375,4353.99400390625,46.731176389471926,-2.375245221971383,0.5891315757041785,2.0857444304318262,False,False,False,True,FAILURE,1.0
16,4417.39990234375,4491.339990234375,4353.99400390625,46.731176389471926,-2.375245221971383,0.5891315757041785,2.0857444304318262,False,False,False,True,FAILURE,1.0
17,4417.39990234375,4491.339990234375,4353.99400390625,46.731176389471926,-2.375245221971383,0.5891315757041785,2.0857444304318262,False,False,False,True,FAILURE,1.0
18,4417.39990234375,4491.339990234375,4353.99400390625,46.731176389471926,-2.375245221971383,0.5891315757041785,2.0857444304318262,False,False,False,True,FAILURE,1.0
19,4417.39990234375,4491.339990234375,4353.99400390625,46.731176389471926,-2.375245221971383,0.5891315757041785,2.0857444304318262,False,False,False,True,FAILURE,1.0
20,4417.39990234375,4491.339990234375,4353.99400390625,46.731176389471926,-2.375245221971383,0.5891315757041785,2.0857444304318262,False,False,False,True,FAILURE,1.0
21,4417.39990234375,4491.339990234375,4353.99400390625,46.731176389471926,-2.375245221971383,0.5891315757041785,2.0857444304318262,False,False,False,True,FAILURE,1.0
22,1697.800048828125,1701.8799987792968,1702.37400390625,52.792532269817066,1.539925293393651,1.0040531681964857,3.210458062450868,False,True,False,False,SUCCESS,0.016824391744314108
23,2107.0,2092.535009765625,2029.164013671875,53.86200376645941,-4.504721611494503,0.6440309536999501,1.4661982015994728,True,False,False,True,SUCCESS,0.36611989584039595
24,1558.199951171875,1551.2900024414062,1514.4820043945313,60.03551531353972,-5.404894785794511,0.9821906594069659,1.1762655794543866,True,False,False,True,SUCCESS,0.09168088007556689
